filename-1,filename-2,similarity,title-1,year-1,month-1,day-1,title-2,year-2,month-2,day-2,topic_1,year_1,month_1,day_1,topic_2,year_2,month_2,day_2
2023-01-16_3793.txt,2023-07-26_3400.txt,0.3061950604170713,Israeli army kills Palestinian boy in the occupied West Bank,2023,1,16,Palestinian teen killed by Israeli forces in occupied West Bank,2023,7,26,0,2023.0,1.0,16.0,0,2023.0,7.0,26.0
2022-05-08_4199.txt,2022-09-02_3970.txt,0.3063535869279509,Israel arrests Palestinians suspected of deadly stabbing attack,2022,5,8,Israeli forces kill Palestinian man after alleged stabbing attack,2022,9,2,0,2022.0,5.0,8.0,0,2022.0,9.0,2.0
2023-02-27_3707.txt,2023-12-05_1917.txt,0.3063681946588247,Tensions high in West Bank after deadly Israeli settler rampage,2023,2,27,‘Massacres await’: Palestinians in Nablus warn of deadly settler attacks,2023,12,5,0,2023.0,2.0,27.0,0,2023.0,12.0,5.0
2022-10-21_3903.txt,2023-07-20_3411.txt,0.3063717848840998,Israeli forces kill Palestinian teen in Jenin raid,2022,10,21,"Israeli forces kill Palestinian, injure 4 in occupied West Bank",2023,7,20,0,2022.0,10.0,21.0,0,2023.0,7.0,20.0
2022-11-09_3884.txt,2022-11-14_3878.txt,0.3063842015639623,Palestinian teenager killed as Israeli MPs hold event in Nablus,2022,11,9,Israeli army kills Palestinian teenager in occupied West Bank,2022,11,14,0,2022.0,11.0,9.0,0,2022.0,11.0,14.0
2023-12-05_1917.txt,2024-04-13_49.txt,0.3063849919121997,‘Massacres await’: Palestinians in Nablus warn of deadly settler attacks,2023,12,5,Palestinian man killed in Israeli settler raids in occupied West Bank,2024,4,13,0,2023.0,12.0,5.0,0,2024.0,4.0,13.0
2022-09-07_3953.txt,2022-10-21_3903.txt,0.3063923556395087,Israeli forces kill Palestinian in latest occupied West Bank raid,2022,9,7,Israeli forces kill Palestinian teen in Jenin raid,2022,10,21,0,2022.0,9.0,7.0,0,2022.0,10.0,21.0
2021-09-26_4364.txt,2022-09-15_3946.txt,0.3064124166590767,Five Palestinians killed by Israeli forces in occupied West Bank,2021,9,26,Israeli forces kill Palestinian teenager in occupied West Bank,2022,9,15,0,2021.0,9.0,26.0,0,2022.0,9.0,15.0
2021-07-24_4439.txt,2021-07-29_4435.txt,0.3066359879677625,Palestinian protester shot by Israeli army dies: Ministry,2021,7,24,Israeli forces kill Palestinian during West Bank funeral protest,2021,7,29,0,2021.0,7.0,24.0,0,2021.0,7.0,29.0
2023-01-19_3788.txt,2023-01-30_3759.txt,0.3066978625226084,Teacher among two Palestinians killed by Israeli forces in Jenin,2023,1,19,Jenin refugee camp residents defiant after deadly Israeli assault,2023,1,30,0,2023.0,1.0,19.0,0,2023.0,1.0,30.0
2023-01-30_3759.txt,2023-02-06_3743.txt,0.3068187232438514,Jenin refugee camp residents defiant after deadly Israeli assault,2023,1,30,Israeli forces kill five Palestinians in Jericho raid,2023,2,6,0,2023.0,1.0,30.0,0,2023.0,2.0,6.0
2022-05-12_4185.txt,2022-09-07_3953.txt,0.3070976109148114,Timeline: Israeli attacks in the occupied West Bank,2022,5,12,Israeli forces kill Palestinian in latest occupied West Bank raid,2022,9,7,0,2022.0,5.0,12.0,0,2022.0,9.0,7.0
2023-07-25_3403.txt,2024-01-15_1384.txt,0.3071060529324138,Three Palestinians killed by Israeli forces in occupied West Bank,2023,7,25,Israeli forces kill three Palestinians in occupied West Bank,2024,1,15,0,2023.0,7.0,25.0,0,2024.0,1.0,15.0
2023-01-05_3808.txt,2023-03-09_3691.txt,0.3071153729521235,Israeli forces kill 16-year-old Palestinian in Nablus,2023,1,5,Israeli special forces kill 3 Palestinians in Jenin shootout,2023,3,9,0,2023.0,1.0,5.0,0,2023.0,3.0,9.0
2022-08-26_3980.txt,2023-03-07_3694.txt,0.3073579611449427,Israel drops prosecution of Jewish settler who killed Palestinian,2022,8,26,Israeli attack wounds Palestinians as settlers and soldiers dance,2023,3,7,0,2022.0,8.0,26.0,0,2023.0,3.0,7.0
2021-09-26_4364.txt,2022-05-25_4121.txt,0.3075561907903391,Five Palestinians killed by Israeli forces in occupied West Bank,2021,9,26,Israeli forces kill Palestinian teenager in occupied West Bank,2022,5,25,0,2021.0,9.0,26.0,0,2022.0,5.0,25.0
2022-09-15_3946.txt,2023-01-25_3780.txt,0.3075832420941676,Israeli forces kill Palestinian teenager in occupied West Bank,2022,9,15,Israeli forces kill two Palestinians in Jerusalem and West Bank,2023,1,25,0,2022.0,9.0,15.0,0,2023.0,1.0,25.0
2022-10-10_3916.txt,2022-12-08_3851.txt,0.3077524628594539,Palestinian child shot by Israeli army in Jenin dies from wounds,2022,10,10,"Israel kills three Palestinians in Jenin, general strike called",2022,12,8,0,2022.0,10.0,10.0,0,2022.0,12.0,8.0
2022-05-25_4121.txt,2022-06-25_4074.txt,0.3078582317106909,Israeli forces kill Palestinian teenager in occupied West Bank,2022,5,25,Israeli forces kill Palestinian teenager in occupied West Bank,2022,6,25,0,2022.0,5.0,25.0,0,2022.0,6.0,25.0
2022-10-12_3913.txt,2022-10-20_3905.txt,0.308058394046546,Israeli forces kill Palestinian in West Bank: Ministry,2022,10,12,"Palestinians strike in West Bank, Jerusalem over Israel killings",2022,10,20,0,2022.0,10.0,12.0,0,2022.0,10.0,20.0
2022-11-03_3891.txt,2023-11-06_2546.txt,0.3080961314015267,"Israel kills 4 Palestinians in occupied West Bank, East Jerusalem",2022,11,3,"Who are Israeli settlers, and why do they live on Palestinian lands?",2023,11,6,0,2022.0,11.0,3.0,0,2023.0,11.0,6.0
2022-09-24_3936.txt,2022-09-25_3933.txt,0.3083181384668214,Israeli forces accused of killing ‘defenceless Palestinian’ man,2022,9,24,Second Palestinian killed in Nablus by Israeli forces in 24 hours,2022,9,25,0,2022.0,9.0,24.0,0,2022.0,9.0,25.0
2022-07-21_4044.txt,2022-10-14_3911.txt,0.3083781577687341,Palestinians fear revenge attacks after settler outposts removal,2022,7,21,Two Palestinians killed by Israeli forces in Jenin,2022,10,14,0,2022.0,7.0,21.0,0,2022.0,10.0,14.0
2023-02-14_3733.txt,2023-02-24_3714.txt,0.3084961738719914,Two Palestinians killed in latest Israeli raids in West Bank,2023,2,14,"Israeli forces kill Palestinian, thousands protest violent raids",2023,2,24,0,2023.0,2.0,14.0,0,2023.0,2.0,24.0
2022-06-09_4095.txt,2022-09-08_3951.txt,0.3085155072612612,Israeli forces kill Palestinian man in occupied West Bank,2022,6,9,Israeli forces kill Palestinian youth near Ramallah in West Bank,2022,9,8,0,2022.0,6.0,9.0,0,2022.0,9.0,8.0
