year,month,day,length,title,file,Topic,Count,topic_1,topic_2,topic_3,topic_4,Topic_Name
2023,12,1,179,"Palestinians flee homes, dig in rubble as Israel resumes strikes on Gaza",2023-12-01_1990.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,1,179,Israeli air strikes pound Gaza as truce with Hamas ends,2023-12-01_1995.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,1,179,Mediators push to renew truce as Israel-Hamas war resumes in Gaza,2023-12-01_1986.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,11,30,179,Palestine advocates decry MSNBC’s cancellation of Mehdi Hasan news show,2023-11-30_2000.txt,76,11,journalists,abc,media,coverage,"journalists, abc, media"
2023,12,2,180,Photos: More deaths and destruction as Israel targets southern Gaza,2023-12-02_1955.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,2,180,‘Hell on Earth’ in Gaza: Israel strikes hit Deir el-Balah,2023-12-02_1958.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,16,181,"Hamas warns of environmental crisis as 1,000 bodies still under Gaza rubble",2023-10-16_3100.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,4,182,"Telecommunications, internet down in Gaza as Israeli strikes intensify",2023-12-04_1930.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,4,182,"Israel asks Palestinians to evacuate, but is any place safe in Gaza?",2023-12-04_1932.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,12,182,At least 45 Palestinians killed in Israeli strike on Gaza refugee camp,2023-10-12_3175.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,5,183,Searching for survivors after Israeli attack on central Gaza building,2023-12-05_1909.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,5,183,Israel intensifies strikes on Gaza’s second-largest city,2023-12-05_1919.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,5,183,Northern Gaza hospital ‘overwhelmed by horror’ as Israeli army lays siege,2023-12-05_1922.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,23,183,"Gaza death toll tops 5,000, nearly half of them children: Officials",2023-10-23_2905.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,23,183,Where are Gaza’s neighbourhoods destroyed by Israel?,2023-10-23_2908.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,28,184,"Mass graves, unclaimed bodies: Israel’s war robs Gazans of funeral rites",2023-10-28_2766.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,28,184,"Communication blackout, fuel shortages worsen the situation in Gaza",2023-10-28_2770.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,18,184,Israeli attacks continue as calls for a ceasefire in Gaza grow,2023-12-18_1702.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,7,187,US says does not support Israeli ‘reoccupation’ of Gaza after war,2023-11-07_2502.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,7,3,187,"‘Criminal’: Israel’s Jenin attack sparks condemnation, alarm",2023-07-03_3466.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,10,28,188,"Mass graves, unclaimed bodies: Israel’s war robs Gazans of funeral rites",2023-10-28_2766.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,28,188,"Communication blackout, fuel shortages worsen the situation in Gaza",2023-10-28_2770.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,15,190,"As Israel’s war on Gaza rages, humanitarian crisis worsens",2023-11-15_2323.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,15,190,UN Security Council adopts resolution for ‘humanitarian pauses’ in Gaza,2023-11-15_2305.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2024,1,5,190,Israel launches attacks across Gaza amid spike in regional tensions,2024-01-05_1498.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,24,192,Palestinians return to destroyed homes in Gaza as Israel-Hamas truce begins,2023-11-24_2118.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,24,192,"Israel pounds Gaza ahead of truce, killing and injuring dozens",2023-11-24_2127.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,8,192,Thousands flee northern Gaza in ‘desperate journey’ during Israel war,2023-11-08_2481.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,8,192,"More Israeli attacks, more death and destruction in Gaza",2023-11-08_2498.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,25,193,"Israeli air raids flatten homes, kill dozens at a time in southern Gaza",2023-10-25_2864.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,25,193,What has the UN done and said on the Israel-Palestine conflict?,2023-10-25_2853.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,10,25,193,What we know about UN draft resolutions on the Israel-Hamas war so far,2023-10-25_2855.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,10,25,193,Israel to refuse visas to UN officials after Guterres speech on Gaza war,2023-10-25_2865.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,10,25,193,Starvation used as a ‘weapon of war’ in Gaza amid Israeli siege: Oxfam,2023-10-25_2849.txt,35,23,aid,food,famine,gaza,"aid, food, famine"
2023,12,17,194,At least 90 killed in latest Israeli attacks on Gaza’s Jabalia refugee camp,2023-12-17_1705.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,6,194,Palestinians flee massacre as Israel bombs al-Maghazi refugee camp,2023-11-06_2528.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,6,194,"Photos: In Gaza, grieving continues as Israel strikes refugee camps",2023-11-06_2550.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,7,195,Photos: Death and devastation in Gaza after two months of Israel-Hamas war,2023-12-07_1876.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,7,195,Humanitarian conditions in Gaza near collapse as Israeli attacks intensify,2023-12-07_1889.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,7,195,Two months of Israel-Gaza war: How divided is the world?,2023-12-07_1883.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,12,7,195,Israel’s war on Gaza: Can Guterres’s use of UN’s Article 99 bring peace?,2023-12-07_1884.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,12,7,195,UN secretary-general invokes Article 99 on Gaza,2023-12-07_1890.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,12,2,196,Photos: More deaths and destruction as Israel targets southern Gaza,2023-12-02_1955.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,2,196,‘Hell on Earth’ in Gaza: Israel strikes hit Deir el-Balah,2023-12-02_1958.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,10,198,Tens of thousands flee on foot as UN says north of Gaza is ‘hell on earth’,2023-11-10_2418.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,10,198,At least 25 people killed in Israeli attacks on Gaza City school,2023-11-10_2419.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,10,198,Israeli bombardments damage more than half of Gaza’s housing units,2023-11-10_2433.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,17,200,‘Bodies all around’ as Israeli air raids hit homes in Khan Younis and Rafah,2023-10-17_3063.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,3,201,"From north to south, nowhere safe in Gaza as 700 killed in 24 hours",2023-12-03_1947.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,3,201,Over 700 killed in last 24 hours as Israel intensifies strikes,2023-12-03_1951.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,2,202,Gaza authorities say 15 killed in Israeli strike on Bureij refugee camp,2023-11-02_2635.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2024,2,23,202,‘Stop the genocide’: New York protesters demand end to Israel’s war on Gaza,2024-02-23_975.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
